pos,tsc,team_name,gp,pts,reb,ast,3pm,stl,blk,to,fd pts
PG,ATL,Atlanta Hawks,35,27.48,6.88,9.39,3.54,1.89,0.54,4.34,52.77
PG,BKN,Brooklyn Nets,31,22.51,5.93,9.26,2.76,1.78,0.26,3.26,46.38
PG,BOS,Boston Celtics,33,23.98,6.25,9.07,3.76,1.37,0.45,3.50,47.05
PG,CHA,Charlotte Hornets,33,26.32,5.99,8.47,3.41,1.73,0.41,2.99,49.64
PG,CHI,Chicago Bulls,33,25.79,5.90,8.07,3.77,2.06,0.48,3.03,49.57
PG,CLE,Cleveland Cavaliers,35,26.59,6.41,9.25,3.71,1.76,0.41,3.22,51.45
PG,DAL,Dallas Mavericks,35,26.87,8.01,8.94,2.89,1.77,0.71,3.86,53.47
PG,DEN,Denver Nuggets,33,22.72,6.07,8.82,2.71,1.37,0.57,2.20,46.85
PG,DET,Detroit Pistons,34,24.93,5.78,7.45,3.18,2.10,0.62,4.10,47.10
PG,GSW,Golden State Warriors,34,26.96,5.75,6.82,3.69,2.12,0.78,3.59,49.20
PG,HOU,Houston Rockets,31,23.25,5.85,8.30,2.83,1.96,0.63,4.04,46.45
PG,IND,Indiana Pacers,34,25.14,7.65,7.81,2.87,1.78,0.41,3.31,49.30
PG,LAC,Los Angeles Clippers,33,25.88,6.80,8.86,3.20,1.70,0.76,3.38,51.33
PG,LAL,Los Angeles Lakers,31,26.03,4.95,9.49,3.37,2.41,0.38,3.89,50.69
PG,MEM,Memphis Grizzlies,33,29.07,6.46,7.93,4.37,1.79,0.32,3.91,51.14
PG,MIA,Miami Heat,34,26.02,7.36,9.62,3.71,1.88,0.56,4.15,52.45
PG,MIL,Milwaukee Bucks,34,25.84,6.56,9.83,3.33,1.72,0.52,3.82,51.36
PG,MIN,Minnesota Timberwolves,34,25.44,6.85,8.73,2.93,1.66,0.55,3.85,49.54
PG,NOP,New Orleans Pelicans,35,24.13,6.38,10.07,3.41,1.65,0.54,3.81,49.65
PG,NYK,New York Knicks,33,24.76,5.00,7.99,3.55,1.90,0.56,3.20,46.93
PG,OKC,Oklahoma City Thunder,34,24.46,6.33,7.04,3.73,1.63,0.42,3.91,44.86
PG,ORL,Orlando Magic,34,28.26,6.15,8.57,3.04,1.69,0.48,4.28,50.73
PG,PHI,Philadelphia 76ers,32,24.39,7.46,9.20,2.79,1.67,0.67,3.82,50.34
PG,PHO,Phoenix Suns,33,25.17,6.17,7.71,2.99,1.99,0.41,3.92,47.42
PG,POR,Portland Trail Blazers,34,27.13,5.93,8.62,2.87,2.62,0.46,3.26,53.16
PG,SAC,Sacramento Kings,34,24.95,6.87,9.13,2.82,2.00,0.75,3.45,51.69
PG,SAS,San Antonio Spurs,33,29.66,6.52,8.19,3.98,1.82,0.59,2.85,54.15
PG,TOR,Toronto Raptors,35,24.53,6.14,7.12,3.45,1.83,0.84,3.63,46.96
PG,UTA,Utah Jazz,33,28.14,6.30,9.84,4.17,2.06,0.76,3.13,55.79
PG,WAS,Washington Wizards,32,25.84,6.83,9.42,3.74,2.41,0.71,2.55,54.98
SG,ATL,Atlanta Hawks,35,22.50,5.83,4.81,3.42,2.17,0.39,2.51,41.88
SG,BKN,Brooklyn Nets,31,21.81,5.74,5.45,3.01,2.05,0.64,2.49,42.45
SG,BOS,Boston Celtics,33,19.73,5.75,4.86,2.73,1.21,0.43,2.46,36.38
SG,CHA,Charlotte Hornets,33,20.75,6.07,5.28,2.65,1.86,0.37,1.92,40.72
SG,CHI,Chicago Bulls,33,23.23,6.50,5.47,3.16,2.10,0.71,2.18,45.49
SG,CLE,Cleveland Cavaliers,35,23.04,6.53,4.91,3.08,1.82,0.41,3.01,41.92
SG,DAL,Dallas Mavericks,35,20.89,7.38,4.05,2.90,2.02,0.53,1.78,41.69
SG,DEN,Denver Nuggets,33,22.82,5.17,4.40,3.27,1.69,0.36,2.62,39.15
SG,DET,Detroit Pistons,34,21.58,5.74,4.92,2.50,1.88,0.47,2.98,39.92
SG,GSW,Golden State Warriors,34,21.82,6.67,5.14,2.61,1.90,0.36,2.95,41.36
SG,HOU,Houston Rockets,31,19.65,5.39,3.75,3.05,1.87,0.60,1.99,37.16
SG,IND,Indiana Pacers,34,20.93,7.29,4.62,2.79,1.66,0.53,2.39,40.79
SG,LAC,Los Angeles Clippers,33,22.54,6.54,4.98,3.44,1.93,0.52,2.53,42.68
SG,LAL,Los Angeles Lakers,31,22.67,6.45,5.21,3.16,1.71,0.42,2.59,42.03
SG,MEM,Memphis Grizzlies,33,21.87,6.79,4.96,3.37,1.77,0.67,2.63,42.15
SG,MIA,Miami Heat,34,21.18,7.08,4.71,3.04,1.58,0.75,2.53,41.20
SG,MIL,Milwaukee Bucks,34,23.13,6.48,4.86,3.95,1.76,0.63,2.33,43.04
SG,MIN,Minnesota Timberwolves,34,20.44,5.94,4.16,2.77,1.59,0.56,2.18,38.08
SG,NOP,New Orleans Pelicans,35,26.40,6.82,5.71,3.52,1.64,0.65,2.67,47.35
SG,NYK,New York Knicks,33,22.44,6.43,6.16,3.27,1.32,0.62,2.81,42.41
SG,OKC,Oklahoma City Thunder,34,21.88,7.06,5.37,3.27,1.92,0.46,3.48,42.07
SG,ORL,Orlando Magic,34,21.27,5.66,4.58,2.61,1.30,0.65,2.44,38.34
SG,PHI,Philadelphia 76ers,32,22.34,6.16,5.52,3.07,1.49,0.46,2.21,41.65
SG,PHO,Phoenix Suns,33,21.82,6.36,4.54,3.31,1.82,0.64,3.31,40.33
SG,POR,Portland Trail Blazers,34,22.05,6.05,5.35,2.86,2.62,0.36,2.43,43.85
SG,SAC,Sacramento Kings,34,21.56,6.61,5.67,3.20,1.95,0.53,2.66,42.78
SG,SAS,San Antonio Spurs,33,20.63,6.92,4.64,3.07,1.42,0.62,2.47,39.54
SG,TOR,Toronto Raptors,35,20.86,6.49,5.46,2.64,1.76,0.72,2.74,41.54
SG,UTA,Utah Jazz,33,23.59,6.70,5.41,3.94,1.85,0.77,2.55,45.06
SG,WAS,Washington Wizards,32,24.35,6.39,6.01,3.40,2.04,0.65,2.21,46.89
SF,ATL,Atlanta Hawks,35,24.84,8.15,4.43,3.45,2.40,0.90,2.55,48.62
SF,BKN,Brooklyn Nets,31,24.06,7.88,4.40,2.91,1.79,0.59,2.69,44.57
SF,BOS,Boston Celtics,33,22.65,7.98,3.55,3.06,1.26,0.59,2.42,40.68
SF,CHA,Charlotte Hornets,33,22.61,7.69,4.57,2.39,1.82,0.82,2.57,44.04
SF,CHI,Chicago Bulls,33,22.39,8.83,4.16,3.30,1.36,0.66,2.41,42.88
SF,CLE,Cleveland Cavaliers,35,22.90,7.96,4.13,2.90,1.50,0.73,2.39,42.95
SF,DAL,Dallas Mavericks,35,20.41,7.77,4.97,2.10,1.92,0.61,2.14,42.64
SF,DEN,Denver Nuggets,33,24.74,7.83,4.54,2.79,1.46,1.08,2.06,46.51
SF,DET,Detroit Pistons,34,23.26,7.56,3.48,2.65,1.57,1.04,3.10,42.28
SF,GSW,Golden State Warriors,34,19.73,7.58,4.26,2.19,1.83,0.55,2.88,39.48
SF,HOU,Houston Rockets,31,23.36,7.12,4.06,2.68,2.08,0.82,2.16,44.53
SF,IND,Indiana Pacers,34,24.32,8.29,4.14,2.40,1.50,0.78,2.64,44.68
SF,LAC,Los Angeles Clippers,33,21.85,7.42,3.86,2.89,1.63,0.66,2.57,40.84
SF,LAL,Los Angeles Lakers,31,25.89,7.75,4.39,2.91,1.69,0.70,2.78,46.17
SF,MEM,Memphis Grizzlies,33,21.62,8.31,4.61,2.42,1.72,1.02,2.32,44.41
SF,MIA,Miami Heat,34,25.12,7.85,4.05,3.43,1.95,1.06,2.32,47.33
SF,MIL,Milwaukee Bucks,34,22.91,8.26,4.65,2.21,1.76,0.71,2.17,45.04
SF,MIN,Minnesota Timberwolves,34,22.17,8.61,4.19,2.32,1.71,0.64,2.85,42.99
SF,NOP,New Orleans Pelicans,35,25.69,8.24,4.35,3.13,1.58,0.95,2.17,47.52
SF,NYK,New York Knicks,33,24.96,7.68,3.66,3.25,1.13,0.37,2.40,41.77
SF,OKC,Oklahoma City Thunder,34,20.55,7.57,3.45,3.11,1.07,0.55,3.22,36.45
SF,ORL,Orlando Magic,34,24.34,8.18,3.77,2.74,1.48,0.88,2.77,44.12
SF,PHI,Philadelphia 76ers,32,22.66,6.13,4.58,2.46,1.51,0.59,2.62,40.57
SF,PHO,Phoenix Suns,33,23.41,7.69,4.45,2.71,1.56,0.44,2.97,42.34
SF,POR,Portland Trail Blazers,34,23.48,9.26,4.49,2.36,1.93,0.93,2.05,47.86
SF,SAC,Sacramento Kings,34,23.92,7.01,3.84,2.73,1.29,0.53,2.37,41.18
SF,SAS,San Antonio Spurs,33,21.90,7.78,4.45,2.53,1.78,0.53,2.67,42.17
SF,TOR,Toronto Raptors,35,21.22,8.41,4.29,2.55,1.60,0.85,2.92,42.18
SF,UTA,Utah Jazz,33,26.69,9.22,5.46,2.44,1.77,0.62,2.48,50.63
SF,WAS,Washington Wizards,32,24.75,9.18,4.19,3.07,1.55,0.67,1.99,46.72
PF,ATL,Atlanta Hawks,35,20.80,11.19,4.67,2.17,1.39,1.28,1.95,47.29
PF,BKN,Brooklyn Nets,31,23.01,11.05,4.67,1.95,1.52,0.86,2.71,47.71
PF,BOS,Boston Celtics,33,22.38,9.44,3.95,2.55,0.75,1.09,2.52,42.63
PF,CHA,Charlotte Hornets,33,26.04,8.64,5.66,2.73,1.41,0.98,2.24,49.83
PF,CHI,Chicago Bulls,33,27.70,10.50,5.07,2.11,1.51,1.37,2.36,54.19
PF,CLE,Cleveland Cavaliers,35,22.91,10.34,5.10,2.05,1.13,1.10,3.18,46.48
PF,DAL,Dallas Mavericks,35,22.04,9.42,3.51,2.17,1.55,1.05,2.24,44.17
PF,DEN,Denver Nuggets,33,23.67,9.63,5.96,2.18,1.63,0.85,2.55,49.06
