PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Alperen Sengun,HOU,HOU @ BKN,01/01/2026,W,34,20,8,12,66.7,0,0,-,4,6,66.7,2,4,6,6,2,1,1,4,30,44.2
Jae'Sean Tate,HOU,HOU @ BKN,01/01/2026,W,11,4,2,4,50.0,0,0,-,0,0,-,3,1,4,1,0,0,0,1,3,10.3
Noah Clowney,BKN,BKN vs. HOU,01/01/2026,L,26,11,4,9,44.4,0,2,0.0,3,7,42.9,1,0,1,0,0,2,3,2,-19,15.2
Dorian Finney-Smith,HOU,HOU @ BKN,01/01/2026,W,15,0,0,2,0.0,0,1,0.0,0,0,-,1,2,3,1,1,0,1,1,5,7.1
Josh Okogie,HOU,HOU @ BKN,01/01/2026,W,21,5,2,5,40.0,1,2,50.0,0,0,-,0,5,5,2,0,0,2,2,4,12.0
Nic Claxton,BKN,BKN vs. HOU,01/01/2026,L,24,11,5,10,50.0,0,0,-,1,3,33.3,3,5,8,2,0,0,0,1,-19,23.6
Nolan Traore,BKN,BKN vs. HOU,01/01/2026,L,26,3,1,8,12.5,1,5,20.0,0,0,-,0,0,0,2,1,0,2,2,0,7.0
Danny Wolf,BKN,BKN vs. HOU,01/01/2026,L,29,9,4,10,40.0,1,4,25.0,0,0,-,1,3,4,5,2,0,1,3,-24,26.3
Jalen Wilson,BKN,BKN vs. HOU,01/01/2026,L,23,8,1,2,50.0,1,1,100,5,6,83.3,1,2,3,0,0,0,0,2,-7,11.6
Amen Thompson,HOU,HOU @ BKN,01/01/2026,W,32,23,10,12,83.3,2,3,66.7,1,1,100,2,2,4,3,2,1,1,3,19,40.3
Day'Ron Sharpe,BKN,BKN vs. HOU,01/01/2026,L,19,8,4,6,66.7,0,1,0.0,0,0,-,3,5,8,7,2,0,0,1,-2,34.1
Kevin Durant,HOU,HOU @ BKN,01/01/2026,W,37,22,8,15,53.3,2,7,28.6,4,4,100,0,5,5,11,0,0,6,2,11,38.5
Tyrese Martin,BKN,BKN vs. HOU,01/01/2026,L,18,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,1,0,1,1,-9,5.0
Tari Eason,HOU,HOU @ BKN,01/01/2026,W,22,15,6,7,85.7,2,2,100,1,2,50.0,2,7,9,0,1,1,1,3,15,30.8
Ziaire Williams,BKN,BKN vs. HOU,01/01/2026,L,27,14,3,6,50.0,2,4,50.0,6,7,85.7,1,1,2,0,5,0,0,1,-17,31.4
