Name,Team,Stat,Line,Versus,Odds_Type,Scraped_At
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,45.5,TOR,Standard,2026-01-25 10:35
Jamal Murray,DEN,Pts+Rebs+Asts,42.5,MEM,Standard,2026-01-25 10:35
Shai Gilgeous-Alexander,OKC,Pts+Asts,40.5,TOR,Standard,2026-01-25 10:35
Cade Cunningham,DET,Pts+Rebs+Asts,40.5,SAC,Standard,2026-01-25 10:35
Victor Wembanyama,SAS,Pts+Rebs+Asts,39.5,NOP,Standard,2026-01-25 10:35
Anthony Edwards,MIN,Pts+Rebs+Asts,39.5,GSW,Standard,2026-01-25 10:35
James Harden,LAC,Pts+Rebs+Asts,39.5,BKN,Standard,2026-01-25 10:35
Stephen Curry,GSW,Pts+Rebs+Asts,38.0,MIN,Standard,2026-01-25 10:35
Jamal Murray,DEN,Pts+Asts,37.5,MEM,Standard,2026-01-25 10:35
Shai Gilgeous-Alexander,OKC,Pts+Rebs,37.5,TOR,Standard,2026-01-25 10:35
Victor Wembanyama,SAS,Pts+Rebs,36.5,NOP,Standard,2026-01-25 10:35
Anthony Edwards,MIN,Pts+Rebs,35.5,GSW,Standard,2026-01-25 10:35
Julius Randle,MIN,Pts+Rebs+Asts,35.5,GSW,Standard,2026-01-25 10:35
Cade Cunningham,DET,Pts+Asts,35.5,SAC,Standard,2026-01-25 10:35
Stephen Curry,GSW,Pts+Asts,34.5,MIN,Standard,2026-01-25 10:35
James Harden,LAC,Pts+Asts,34.5,BKN,Standard,2026-01-25 10:35
Stephen Curry,GSW,Pts+Rebs,33.5,MIN,Standard,2026-01-25 10:35
Anthony Edwards,MIN,Pts+Asts,33.5,GSW,Standard,2026-01-25 10:35
Michael Porter,BKN,Pts+Rebs+Asts,33.5,LAC,Standard,2026-01-25 10:35
Shai Gilgeous-Alexander,OKC,Points,33.5,TOR,Standard,2026-01-25 10:35
Jamal Murray,DEN,Pts+Rebs,33.5,MEM,Standard,2026-01-25 10:35
Kawhi Leonard,LAC,Pts+Rebs+Asts,32.5,BKN,Standard,2026-01-25 10:35
Bam Adebayo,MIA,Pts+Rebs+Asts,32.5,PHX,Standard,2026-01-25 10:35
Ryan Rollins,MIL,Pts+Rebs+Asts,31.5,DAL,Standard,2026-01-25 10:35
Scottie Barnes,TOR,Pts+Rebs+Asts,31.5,OKC,Standard,2026-01-25 10:35
Cade Cunningham,DET,Pts+Rebs,30.5,SAC,Standard,2026-01-25 10:35
James Harden,LAC,Pts+Rebs,30.5,BKN,Standard,2026-01-25 10:35
Michael Porter,BKN,Pts+Rebs,30.5,LAC,Standard,2026-01-25 10:35
Cooper Flagg,DAL,Pts+Rebs+Asts,30.5,MIL,Standard,2026-01-25 10:35
Chet Holmgren,OKC,Pts+Rebs+Asts,30.5,TOR,Standard,2026-01-25 10:35
Trey Murphy,NOP,Pts+Rebs+Asts,30.5,SAS,Standard,2026-01-25 10:35
Stephon Castle,SAS,Pts+Rebs+Asts,30.5,NOP,Standard,2026-01-25 10:35
Domantas Sabonis,SAC,Pts+Rebs+Asts,29.5,DET,Standard,2026-01-25 10:35
Zion Williamson,NOP,Pts+Rebs+Asts,29.5,SAS,Standard,2026-01-25 10:35
Stephen Curry,GSW,Points,29.5,MIN,Standard,2026-01-25 10:35
Bam Adebayo,MIA,Pts+Rebs,29.5,PHX,Standard,2026-01-25 10:35
Dillon Brooks,PHX,Pts+Rebs+Asts,29.5,MIA,Standard,2026-01-25 10:35
Jalen Duren,DET,Pts+Rebs+Asts,29.5,SAC,Standard,2026-01-25 10:35
Anthony Edwards,MIN,Points,29.5,GSW,Standard,2026-01-25 10:35
Julius Randle,MIN,Pts+Rebs,29.5,GSW,Standard,2026-01-25 10:35
Jaren Jackson,MEM,Pts+Rebs+Asts,29.5,DEN,Standard,2026-01-25 10:35
Peyton Watson,DEN,Pts+Rebs+Asts,29.5,MEM,Standard,2026-01-25 10:35
Jamal Murray,DEN,Points,29.0,MEM,Standard,2026-01-25 10:35
Brandon Ingram,TOR,Pts+Rebs+Asts,29.0,OKC,Standard,2026-01-25 10:35
Ivica Zubac,LAC,Pts+Rebs+Asts,28.5,BKN,Standard,2026-01-25 10:35
Bobby Portis,MIL,Pts+Rebs+Asts,28.5,DAL,Standard,2026-01-25 10:35
Julius Randle,MIN,Pts+Asts,28.5,GSW,Standard,2026-01-25 10:35
Chet Holmgren,OKC,Pts+Rebs,28.5,TOR,Standard,2026-01-25 10:35
Kawhi Leonard,LAC,Pts+Rebs,28.5,BKN,Standard,2026-01-25 10:35
Jalen Duren,DET,Pts+Rebs,28.5,SAC,Standard,2026-01-25 10:35
De'Aaron Fox,SAS,Pts+Rebs+Asts,28.5,NOP,Standard,2026-01-25 10:35
Victor Wembanyama,SAS,Pts+Asts,28.5,NOP,Standard,2026-01-25 10:35
Norman Powell,MIA,Pts+Rebs+Asts,27.5,PHX,Standard,2026-01-25 10:35
Collin Gillespie,PHX,Pts+Rebs+Asts,27.5,MIA,Standard,2026-01-25 10:35
Jonas Valančiūnas,DEN,Pts+Rebs+Asts,27.5,MEM,Standard,2026-01-25 10:35
Jaren Jackson,MEM,Pts+Rebs,27.5,DEN,Standard,2026-01-25 10:35
Michael Porter,BKN,Pts+Asts,27.5,LAC,Standard,2026-01-25 10:35
Peyton Watson,DEN,Pts+Rebs,26.5,MEM,Standard,2026-01-25 10:35
Naji Marshall,DAL,Pts+Rebs+Asts,26.5,MIL,Standard,2026-01-25 10:35
Bobby Portis,MIL,Pts+Rebs,26.5,DAL,Standard,2026-01-25 10:35
Cooper Flagg,DAL,Pts+Rebs,26.5,MIL,Standard,2026-01-25 10:35
Ivica Zubac,LAC,Pts+Rebs,26.5,BKN,Standard,2026-01-25 10:35
Domantas Sabonis,SAC,Pts+Rebs,26.5,DET,Standard,2026-01-25 10:35
Scottie Barnes,TOR,Pts+Rebs,26.5,OKC,Standard,2026-01-25 10:35
Dillon Brooks,PHX,Pts+Rebs,26.5,MIA,Standard,2026-01-25 10:35
Kawhi Leonard,LAC,Pts+Asts,26.5,BKN,Standard,2026-01-25 10:35
Trey Murphy,NOP,Pts+Rebs,26.5,SAS,Standard,2026-01-25 10:35
Ryan Rollins,MIL,Pts+Asts,26.5,DAL,Standard,2026-01-25 10:35
Zion Williamson,NOP,Pts+Rebs,26.0,SAS,Standard,2026-01-25 10:35
Cam Spencer,MEM,Pts+Rebs+Asts,25.5,DEN,Standard,2026-01-25 10:35
Stephon Castle,SAS,Pts+Asts,25.5,NOP,Standard,2026-01-25 10:35
Victor Wembanyama,SAS,Points,25.5,NOP,Standard,2026-01-25 10:35
James Harden,LAC,Points,25.5,BKN,Standard,2026-01-25 10:35
Cade Cunningham,DET,Points,25.5,SAC,Standard,2026-01-25 10:35
Grayson Allen,PHX,Pts+Rebs+Asts,25.5,MIA,Standard,2026-01-25 10:35
Brandon Ingram,TOR,Pts+Rebs,25.5,OKC,Standard,2026-01-25 10:35
Immanuel Quickley,TOR,Pts+Rebs+Asts,25.5,OKC,Standard,2026-01-25 10:35
Trey Murphy,NOP,Pts+Asts,25.5,SAS,Standard,2026-01-25 10:35
Rudy Gobert,MIN,Pts+Rebs+Asts,24.5,GSW,Standard,2026-01-25 10:35
Kyle Kuzma,MIL,Pts+Rebs+Asts,24.5,DAL,Standard,2026-01-25 10:35
Cooper Flagg,DAL,Pts+Asts,24.5,MIL,Standard,2026-01-25 10:35
Michael Porter,BKN,Points,24.5,LAC,Standard,2026-01-25 10:35
Jonas Valančiūnas,DEN,Pts+Rebs,24.5,MEM,Standard,2026-01-25 10:35
Naz Reid,MIN,Pts+Rebs+Asts,24.5,GSW,Standard,2026-01-25 10:35
Brandin Podziemski,GSW,Pts+Rebs+Asts,24.5,MIN,Standard,2026-01-25 10:35
Dillon Brooks,PHX,Pts+Asts,24.5,MIA,Standard,2026-01-25 10:35
Norman Powell,MIA,Pts+Rebs,24.5,PHX,Standard,2026-01-25 10:35
Ryan Rollins,MIL,Pts+Rebs,24.5,DAL,Standard,2026-01-25 10:35
De'Aaron Fox,SAS,Pts+Asts,24.5,NOP,Standard,2026-01-25 10:35
DeMar DeRozan,SAC,Pts+Rebs+Asts,24.0,DET,Standard,2026-01-25 10:35
Zion Williamson,NOP,Pts+Asts,23.5,SAS,Standard,2026-01-25 10:35
Jaren Jackson,MEM,Pts+Asts,23.5,DEN,Standard,2026-01-25 10:35
Jaime Jaquez,MIA,Pts+Rebs+Asts,23.5,PHX,Standard,2026-01-25 10:35
Brandon Ingram,TOR,Pts+Asts,23.5,OKC,Standard,2026-01-25 10:35
Norman Powell,MIA,Pts+Asts,23.5,PHX,Standard,2026-01-25 10:35
Russell Westbrook,SAC,Pts+Rebs+Asts,23.5,DET,Standard,2026-01-25 10:35
Scottie Barnes,TOR,Pts+Asts,23.5,OKC,Standard,2026-01-25 10:35
Jock Landale,MEM,Pts+Rebs+Asts,23.5,DEN,Standard,2026-01-25 10:35
Kawhi Leonard,LAC,Points,23.5,BKN,Standard,2026-01-25 10:35
Cedric Coward,MEM,Pts+Rebs+Asts,23.5,DEN,Standard,2026-01-25 10:35
Dillon Brooks,PHX,Points,22.5,MIA,Standard,2026-01-25 10:35
Bam Adebayo,MIA,Pts+Asts,22.5,PHX,Standard,2026-01-25 10:35
Andrew Wiggins,MIA,Pts+Rebs+Asts,22.5,PHX,Standard,2026-01-25 10:35
Jock Landale,MEM,Pts+Rebs,22.5,DEN,Standard,2026-01-25 10:35
Naji Marshall,DAL,Pts+Rebs,22.5,MIL,Standard,2026-01-25 10:35
Nic Claxton,BKN,Pts+Rebs+Asts,22.5,LAC,Standard,2026-01-25 10:35
Peyton Watson,DEN,Pts+Asts,22.5,MEM,Standard,2026-01-25 10:35
Jaden McDaniels,MIN,Pts+Rebs+Asts,22.5,GSW,Standard,2026-01-25 10:35
Collin Gillespie,PHX,Pts+Asts,22.5,MIA,Standard,2026-01-25 10:35
Derik Queen,NOP,Pts+Rebs+Asts,22.5,SAS,Standard,2026-01-25 10:35
Myles Turner,MIL,Pts+Rebs+Asts,22.5,DAL,Standard,2026-01-25 10:35
De'Aaron Fox,SAS,Pts+Rebs,22.5,NOP,Standard,2026-01-25 10:35
Max Christie,DAL,Pts+Rebs+Asts,22.5,MIL,Standard,2026-01-25 10:35
Julius Randle,MIN,Points,22.5,GSW,Standard,2026-01-25 10:35
Donte DiVincenzo,MIN,Pts+Rebs+Asts,22.5,GSW,Standard,2026-01-25 10:35
Stephon Castle,SAS,Pts+Rebs,22.5,NOP,Standard,2026-01-25 10:35
Trey Murphy,NOP,Points,21.5,SAS,Standard,2026-01-25 10:35
Immanuel Quickley,TOR,Pts+Asts,21.5,OKC,Standard,2026-01-25 10:35
Rudy Gobert,MIN,Pts+Rebs,21.5,GSW,Standard,2026-01-25 10:35
Naz Reid,MIN,Pts+Rebs,21.5,GSW,Standard,2026-01-25 10:35
Grayson Allen,PHX,Pts+Asts,21.5,MIA,Standard,2026-01-25 10:35
Grayson Allen,PHX,Pts+Rebs,21.5,MIA,Standard,2026-01-25 10:35
Saddiq Bey,NOP,Pts+Rebs+Asts,21.5,SAS,Standard,2026-01-25 10:35
Cam Spencer,MEM,Pts+Asts,21.5,DEN,Standard,2026-01-25 10:35
Cedric Coward,MEM,Pts+Rebs,21.5,DEN,Standard,2026-01-25 10:35
Naji Marshall,DAL,Pts+Asts,21.5,MIL,Standard,2026-01-25 10:35
Kyle Kuzma,MIL,Pts+Rebs,21.5,DAL,Standard,2026-01-25 10:35
Jalen Pickett,DEN,Pts+Rebs+Asts,21.5,MEM,Standard,2026-01-25 10:35
Jaren Jackson,MEM,Points,21.5,DEN,Standard,2026-01-25 10:35
Mark Williams,PHX,Pts+Rebs+Asts,21.5,MIA,Standard,2026-01-25 10:35
Norman Powell,MIA,Points,21.5,PHX,Standard,2026-01-25 10:35
Collin Gillespie,PHX,Pts+Rebs,21.5,MIA,Standard,2026-01-25 10:35
Draymond Green,GSW,Pts+Rebs+Asts,21.0,MIN,Standard,2026-01-25 10:35
DeMar DeRozan,SAC,Pts+Asts,21.0,DET,Standard,2026-01-25 10:35
Mark Williams,PHX,Pts+Rebs,20.5,MIA,Standard,2026-01-25 10:35
Brandon Ingram,TOR,Points,20.5,OKC,Standard,2026-01-25 10:35
Chet Holmgren,OKC,Pts+Asts,20.5,TOR,Standard,2026-01-25 10:35
Max Christie,DAL,Pts+Rebs,20.5,MIL,Standard,2026-01-25 10:35
Collin Murray-Boyles,TOR,Pts+Rebs+Asts,20.5,OKC,Standard,2026-01-25 10:35
RJ Barrett,TOR,Pts+Rebs+Asts,20.5,OKC,Standard,2026-01-25 10:35
Immanuel Quickley,TOR,Pts+Rebs,20.5,OKC,Standard,2026-01-25 10:35
Zion Williamson,NOP,Points,20.5,SAS,Standard,2026-01-25 10:35
Zach LaVine,SAC,Pts+Rebs+Asts,20.5,DET,Standard,2026-01-25 10:35
DeMar DeRozan,SAC,Pts+Rebs,20.5,DET,Standard,2026-01-25 10:35
Domantas Sabonis,SAC,Pts+Asts,20.5,DET,Standard,2026-01-25 10:35
Myles Turner,MIL,Pts+Rebs,20.5,DAL,Standard,2026-01-25 10:35
Ryan Rollins,MIL,Points,19.5,DAL,Standard,2026-01-25 10:35
Cole Anthony,MIL,Pts+Rebs+Asts,19.5,DAL,Standard,2026-01-25 10:35
Cooper Flagg,DAL,Points,19.5,MIL,Standard,2026-01-25 10:35
Peyton Watson,DEN,Points,19.5,MEM,Standard,2026-01-25 10:35
Brandon Williams,DAL,Pts+Rebs+Asts,19.5,MIL,Standard,2026-01-25 10:35
P.J. Washington,DAL,Pts+Rebs+Asts,19.5,MIL,Standard,2026-01-25 10:35
Aaron Wiggins,OKC,Pts+Rebs+Asts,19.5,TOR,Standard,2026-01-25 10:35
Brandin Podziemski,GSW,Pts+Rebs,19.5,MIN,Standard,2026-01-25 10:35
Russell Westbrook,SAC,Pts+Asts,19.5,DET,Standard,2026-01-25 10:35
Brandin Podziemski,GSW,Pts+Asts,19.5,MIN,Standard,2026-01-25 10:35
Jalen Duren,DET,Pts+Asts,19.0,SAC,Standard,2026-01-25 10:35
Zach LaVine,SAC,Pts+Rebs,19.0,DET,Standard,2026-01-25 10:35
